District,Category,Bathroom,Direction,House Status,Verification,Land Area (m2),Land Used Area (m2),Width (m),Alley Width (m),Price (bil),Price/m2 (mil),Floor,Have Mezzanine,Have Rooftop,Have Basement,Have Attic,Near Market,Near Hospital,Near Center,Near Frontage,Securities Space,Comfortable Space,Have Car Park,Larger Rear,Alley Surface,Urgent Sale
4,1,1.0,2,2,2,3.1945831322991562,3.86702563949741,1.2237754316221157,1.252762968495368,2.3,98.3,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,2.0,3,1,2,3.288401887516811,4.420044701861403,1.506297153514587,1.0986122886681098,3.5,135.7,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,3.0,3,1,2,3.2771447329921766,4.356708826689592,1.3987168811184478,1.3862943611198906,3.2,125.5,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,2.0,3,1,2,4.377014092850337,4.825108606353353,1.6094379124341003,1.0986122886681098,7.6,96.7,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,6.0,3,1,2,4.241326752570746,5.255931650051599,1.5040773967762742,1.3862943611198906,7.2,105.1,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,1,3.0,3,2,2,3.0819099697950434,4.130354999745133,1.2947271675944,1.3862943611198906,2.95,141.8,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,1.0,2,1,2,2.7013612129514133,3.3603753871419,1.3962446919730587,1.3862943611198906,1.65,118.7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,1,3.0,2,1,2,4.39197696552705,4.911183215124596,1.6094379124341003,1.6094379124341003,5.2,65.2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,2,3.0,3,3,2,4.31748811353631,4.9924713234685845,1.7578579175523736,1.6134299337036377,7.4,100.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,1.0,3,1,2,3.768152635008444,4.5031374604229395,1.547562508716013,1.8500283773520307,5.5,130.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,2.0,3,2,2,4.204692619390966,3.8918202981106265,1.6486586255873816,1.9600947840472698,8.3,125.8,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,5.0,3,1,2,4.436751534363128,5.603593747400769,2.1400661634962708,1.6620303625532709,10.0,119.8,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,3.0,1,1,2,4.154184562578117,5.0363030408448335,1.4701758451005926,1.7227665977411035,5.75,91.7,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,2.0,2,2,2,3.7819143200811256,4.416428061391214,1.4701758451005926,1.1505720275988207,4.2,97.9,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
